Quarter,count,min,max,mean,median,std
1999_1st_quarter,19.0,-369.87,34382.56,11735.974210526314,8937.42,12268.04905935211
1999_2nd_quarter,19.0,-472.96,33060.35,11577.193684210524,9397.88,11970.27682626207
1999_3rd_quarter,19.0,-427.93,34314.67,11882.6,10350.26,12411.51083112053
1999_4th_quarter,19.0,-923.72,35341.42,12217.037894736843,10635.45,12801.432239648717
2000_1st_quarter,19.0,-76.22,34217.37,12311.429999999998,11813.79,12481.720534160255
2000_2nd_quarter,19.0,-167.68,30802.13,11768.166842105262,11981.42,11653.079954763534
2000_3rd_quarter,19.0,-264.86,30427.07,11670.113684210526,12900.9,11585.53197575091
2000_4th_quarter,19.0,0.0,30798.43,11764.105263157897,12171.58,11660.781545773836
2001_1st_quarter,19.0,-628.05,29196.34,10955.879473684212,11638.03,10947.611794336939
2001_2nd_quarter,19.0,0.0,28340.07,10414.49947368421,10597.78,10453.490405370445
2001_3rd_quarter,19.0,-66.95,28328.32,11346.55842105263,12922.38,11137.425176314448
2001_4th_quarter,19.0,-800.3,30813.65,11915.693684210528,13834.09,11873.574855055336
2002_1st_quarter,19.0,-427.3,29652.43,11397.736315789472,13091.31,11338.762851016474
2002_2nd_quarter,19.0,-744.24,29527.45,11880.292105263157,15936.11,11644.274692606368
2002_3rd_quarter,19.0,-453.17,26481.83,10715.121578947368,11743.78,10521.82254965009
2002_4th_quarter,19.0,-584.31,30282.55,11110.977894736841,11270.34,11303.61479195069
2003_1st_quarter,19.0,-370.67,28679.69,11053.937368421053,12247.22,10990.802490364305
2003_2nd_quarter,19.0,-322.44,26025.5,10573.822105263158,11393.84,10335.077191996079
2003_3rd_quarter,19.0,-51.82,24957.81,10463.805263157894,12883.1,10083.693639584306
2003_4th_quarter,19.0,-325.61,26409.93,10464.003157894736,12064.76,10362.605002074126
2004_1st_quarter,19.0,-984.33,25434.13,10543.276842105266,13357.12,10367.069405763754
2004_2nd_quarter,19.0,-870.85,24345.24,10571.445789473686,14064.01,10370.78741609244
2004_3rd_quarter,19.0,-759.17,23005.72,10451.047368421052,14445.68,10203.386736173457
2004_4th_quarter,19.0,-928.76,23516.04,10548.553157894738,13990.72,10398.14646496996
2005_1st_quarter,19.0,-637.18,22714.08,9720.453684210528,12468.67,9598.69637441125
2005_2nd_quarter,19.0,-866.16,21989.98,9969.183157894737,13896.03,9668.973350738406
